90;immaterialize;14,19,9,32,14,29,8,9,18,15,42
91;impend;14,19,28,7,20,6
92;inalienable;14,20,2,18,39,9,20,9,4,9,18
93;inwardly;14,20,38,9,29,6,18,8
94;jaeger;39,2,11,9,29
95;jam;16,1,19
96;jape;16,2,28
97;jobless;16,3,4,18,14,30
98;jokily;16,22,17,9,18,8
99;jubilee;16,26,4,9,18,8
100;juggle;16,35,11,9,18
101;judder;16,35,6,9,29
102;juratory;16,25,29,9,32,9,29,8
103;justly;16,35,30,32,18,8
104;kallikrein;17,1,18,14,17,29,8,14,20
105;keynote;17,8,20,22,32,14,6
106;kick;17,14,17
107;kinky;17,14,21,17,8
108;kittenishly;17,14,32,45,14,31,18,8
109;knuckle;20,35,17,9,18
110;know;20,22
111;kvell;17,9,37,7,18
112;knobby;20,3,4,8
113;killingly;17,14,18,14,21,18,8
114;lacquer;18,1,17,9,29
115;lancinate;18,1,20,30,14,20,2,32
116;langish;18,1,21,11,38,14,31
117;leery;18,14,29,8
118;lengthwise;18,7,21,17,33,38,15,42
119;libra;18,15,4,29,9
120;lignify;18,14,11,20,14,10,15
121;linger;18,14,21,11,9,29
122;livid;18,14,37,14,6
123;locally;18,22,17,9,18,8
124;malaise;19,1,18,2,42
125;malign;19,9,18,15,20
126;masqueraded;19,1,30,17,9,29,2,6,14,6
127;metatarsal;19,7,32,9,32,3,29,30,9,18
128;moonishly;19,26,20,14,31,18,8
129;moulage;19,26,18,3,5
130;much;19,35,5
131;muddle;19,35,6,44
132;mug;19,35,11
133;multiplicatively;19,35,18,32,9,28,18,14,17,2,32,14,37,8
134;nalorphine;20,1,18,23,29,10,8,20
135;narcotize;20,3,29,17,9,32,15,42
136;navigate;20,1,37,9,11,2,32
137;ninth;20,15,20,33
138;near;20,8,29
139;neophyte;20,8,22,10,15,32
140;neutralize;20,26,32,29,9,18,15,42
141;nidify;20,14,6,9,10,15
142;normal;20,23,29,19,9,18
143;northwestward;20,23,29,33,38,7,30,32,38,9,29,6
144;octopod;2,17,32,9,28,2,6
145;officer;23,10,14,30,9,29
146;opaque;22,28,2,17
147;optimistically;2,28,32,9,19,14,42,32,14,14,17,9,18,8
148;opuntia;22,28,35,20,31,8,9
149;organize;23,29,11,9,20,15,42
150;oscillate;2,30,9,18,2,32
151;otiose;22,31,8,22,30
152;out;27,32
153;palsy;28,23,18,30,8
154;parry;28,1,29,8
155;partake;28,3,29,32,2,17
156;penicillate;28,7,20,14,30,14,18,14,32
157;personalize;28,36,29,30,9,20,9,18,15,42
158;phenacetin;10,8,20,1,30,9,32,14,20
159;pinch;28,14,20,5
160;pine;28,15,20
161;placid;28,18,1,30,14,6
162;posteriorly;28,3,30,32,14,29,8,9,29,18,8
163;quash;17,38,3,31
164;query;17,38,14,29,8
165;quinary;17,38,14,20,9,29,8
166;quite;17,38,15,32
167;quiver;17,38,14,37,9,29
168;quote;17,38,22,32
169;quaff;17,38,3,10
170;quaquaversal;17,38,2,17,38,9,37,36,29,30,9,18
171;quizically;17,38,14,42,14,17,9,18,8
172;regelation;29,8,16,9,18,3,31,9,20
173;relax;29,14,18,1,17,30
174;rely;29,14,18,15
175;roguish;29,22,11,14,31
176;roundly;29,27,20,6,18,8
177;roux;29,26
178;ruck;29,35,17
179;ruinate;29,26,9,20,2,32
180;ruminant;29,26,19,9,20,9,20,32
181;ruttishly;29,35,32,14,31,18,8
182;sacrifice;30,1,17,29,9,10,14,30
183;sain;30,2,20
184;schematize;30,17,8,19,1,32,15,42
185;secondary;30,7,17,9,20,6,7,29,8
186;sheer;31,14,29
187;siamany;30,8,9,19,1,21
188;skelp;30,17,7,18,28
189;sledge;30,18,7,16
190;societal;30,9,30,14,9,32,9,18
191;stockishly;30,32,3,17,14,31,18,8
192;tarantula;32,9,29,1,20,5,26,18,9
193;temper;32,7,19,28,9,29
194;thirl;33,36,29,18
195;tidy;32,15,6,8
196;tinily;32,15,20,9,18,8
197;tood;32,22,6
198;tope;32,22,28
199;transmigrate;32,29,1,20,30,19,15,11,29,2,32
200;typical;32,14,28,14,17,9,18
201;tomorrow;32,9,19,3,29,22
202;ultimatum;35,18,32,9,19,2,32,9,19
203;underlay;35,20,6,9,29,18,2
204;underreact;35,20,6,9,29,29,8,1,17,32
205;univocal;40,20,14,35,9,17,9,18
206;unquestionably;40,20,17,38,7,30,5,9,20,9,4,9,18,8
207;upas;41,28,9,30
208;urbanize;36,29,4,9,20,15,42
209;usefully;41,30,10,9,18,8
210;uxorious;35,17,30,23,29,8,9,30
211;up;35,28
212;valerate;37,1,18,9,29,2,32
213;vandalize;37,1,20,6,9,18,15,42
214;vanish;37,1,20,14,31
215;vegetable;37,7,16,32,9,4,9,18
216;vicariously;37,15,17,7,29,8,9,3,18,8
217;violation;37,15,9,18,2,31,9,20
218;volunteer;37,3,18,9,20,32,14,29
219;vulcanizing;37,35,18,17,9,20,15,42,14,21
220;vying;37,15,14,21
221;veeringly;37,14,29,14,21,18,8
222;walleye;38,9,18,15
223;warble;38,23,29,4,9,18
224;ween;38,8,20
225;whimsical;31,14,19,42,
226;withal;38,14,34,9,18
227;worth;38,36,29,33
228;write;29,15,32
229;wrote;29,22,32
230;weak;29,8,17
231;wellnigh;29,7,18,20,15
232;yanthene;42,1,20,33,8,20
233;xenobiotic;42,7,20,22,4,15,3,32,14,17
234;xiphisternum;42,14,10,9,30,32,36,29,20,9,19
235;xylem;42,14,18,9,19
236;yahrzeit;39,3,29,32,30,15,32
237;yawn;39,23,29
238;yearn;39,36,29,20
239;yeld;39,7,18,6
240;yes;39,7,30
241;yew;39,26
242;yield;39,8,18,6
243;yowl;39,27,18
244;yauld;39,23,18,6
245;yonder;39,3,20,6,9,29
246;zaminder;42,9,19,8,20,6,3,29
247;zap;42,1,28
248;zigging;42,14,11,14,21
249;zonal;42,22,20,9,18
250;zoogeographically;42,22,9,16,8,3,11,29,9,10,14,17,9,18,8
251;zouk;42,26,17
252;zincic;42,14,21,17,14,17
253;zoom;42,26,19
254;zygapophyseal;42,14,11,1,28,9,10,14,42,8,9,18
255;zealousness;42,7,18,9,30,20,9,30
